srr	condition_type	treatment	conc_intens	start_time	end_time	time_unit
SRR1950501	treatment	doxycycline	500 ng/mL	-4	0	hr
SRR1950502	treatment	doxycycline	500 ng/mL	-4	0	hr
SRR1950504	treatment	doxycycline	500 ng/mL	-12	0	hr
SRR1950503	treatment	doxycycline	500 ng/mL	-12	0	hr
SRR1950505	treatment	doxycycline	500 ng/mL	-12	0	hr
SRR1950506	treatment	doxycycline	500 ng/mL	-12	0	hr
SRR1950507	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950508	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950509	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950510	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950511	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950512	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950514	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950513	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR611824	no treatment					
SRR611825	no treatment					
SRR611826	no treatment					
SRR611827	no treatment					
SRR611828	no treatment					
SRR611829	no treatment					
SRR611830	no treatment					
SRR611831	no treatment					
SRR611832	no treatment					
SRR611833	no treatment					
SRR531826	no treatment					
SRR531825	no treatment					
SRR531824	no treatment					
SRR7616133	no treatment					
SRR7616134	no treatment					
SRR7616135	no treatment					
SRR7616132	no treatment					
SRR8867622	vehicle	PBS	NA or not known	-45	0	min
SRR8867622	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867623	vehicle	PBS	NA or not known	-45	0	min
SRR8867623	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867624	vehicle	DMSO	NA or not known	-45	0	min
SRR8867624	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR8867625	vehicle	DMSO	NA or not known	-45	0	min
SRR8867625	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR8867626	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867626	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR8867627	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867627	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR8867628	vehicle	DMSO	NA or not known	-45	0	min
SRR8867628	vehicle	PBS	NA or not known	-45	0	min
SRR8867629	vehicle	DMSO	NA or not known	-45	0	min
SRR8867629	vehicle	PBS	NA or not known	-45	0	min
SRR8867630	vehicle	PBS	NA or not known	-45	0	min
SRR8867630	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867631	vehicle	PBS	NA or not known	-45	0	min
SRR8867631	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867633	vehicle	DMSO	NA or not known	-45	0	min
SRR8867633	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR8867634	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867634	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR8867635	treatment	3MB-PP1	10 microM	-45	0	min
SRR8867635	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR8867636	vehicle	DMSO	NA or not known	-45	0	min
SRR8867636	vehicle	PBS	NA or not known	-45	0	min
SRR8867637	vehicle	DMSO	NA or not known	-45	0	min
SRR8867637	vehicle	PBS	NA or not known	-45	0	min
SRR8867632	vehicle	DMSO	NA or not known	-45	0	min
SRR8867632	treatment	IFN-gamma	10 ng/mL	-45	0	min
SRR9032561	no treatment					
SRR9032562	no treatment					
SRR9032553	treatment	cortistatin A	100 nM	-90	-30	min
SRR9032553	treatment	IFN-gamma	10 ng/mL	-30	0	min
SRR9032554	treatment	cortistatin A	100 nM	-90	-30	min
SRR9032554	treatment	IFN-gamma	10 ng/mL	-30	0	min
SRR9032555	treatment	cortistatin A	100 nM	-60	0	min
SRR9032556	treatment	cortistatin A	100 nM	-60	0	min
SRR9032557	vehicle	DMSO	NA or not known	-90	-30	min
SRR9032557	treatment	IFN-gamma	10 ng/mL	-30	0	min
SRR9032558	vehicle	DMSO	NA or not known	-90	-30	min
SRR9032558	treatment	IFN-gamma	10 ng/mL	-30	0	min
SRR1732573	treatment	low fat diet	NA or not known	-28	0	day
SRR5034773	no treatment					
SRR5034774	no treatment					
SRR5150535	no treatment					
SRR3223689	no treatment					
SRR3223688	no treatment					
SRR3223691	no treatment					
SRR3223690	no treatment					
SRR3223692	no treatment					
SRR3223693	no treatment					
SRR3223695	no treatment					
SRR3223694	no treatment					
SRR3223697	no treatment					
SRR3223696	no treatment					
SRR3223699	no treatment					
SRR3223698	no treatment					
SRR1544602	no treatment					
SRR1544603	no treatment					
SRR1544604	no treatment					
SRR1544605	no treatment					
SRR1544606	no treatment					
SRR1544608	no treatment					
SRR1544609	no treatment					
SRR1544610	no treatment					
SRR1544611	no treatment					
SRR1544612	no treatment					
SRR1544613	no treatment					
SRR1544614	no treatment					
SRR1544615	no treatment					
SRR1552315	no treatment					
SRR1552316	no treatment					
SRR1736053	no treatment					
SRR1736054	no treatment					
SRR1736055	no treatment					
SRR1736056	no treatment					
SRR1736059	vehicle	DMSO	NA or not known	-4	0	hr
SRR1736060	treatment	pladienolides B	1 mM	-4	0	hr
SRR1736061	no treatment					
SRR1736062	no treatment					
SRR1736063	no treatment					
SRR1736064	no treatment					
SRR1736065	no treatment					
SRR1928223	no treatment					
SRR1575923	no treatment					
SRR1575924	no treatment					
SRR1575925	no treatment					
SRR1575926	no treatment					
SRR1575927	no treatment					
SRR1575928	no treatment					
SRR1928222	no treatment					
SRR1928221	no treatment					
SRR1575919	no treatment					
SRR1575920	no treatment					
SRR1575914	no treatment					
SRR1575915	no treatment					
SRR1575916	no treatment					
SRR1575917	no treatment					
SRR1575918	no treatment					
SRR1575931	vehicle	DMSO	NA or not known	-1	0	hr
SRR1575930	vehicle	DMSO	NA or not known	-1	0	hr
SRR1575929	vehicle	DMSO	NA or not known	-1	0	hr
SRR1575932	treatment	flavopiridol	1 microM	-1	0	hr
SRR1575933	treatment	flavopiridol	1 microM	-1	0	hr
SRR1575934	treatment	flavopiridol	1 microM	-1	0	hr
SRR1519032	vehicle	ethanol	NA or not known	-40	0	min
SRR1519033	vehicle	ethanol	NA or not known	-40	0	min
SRR1519034	vehicle	ethanol	NA or not known	-40	0	min
SRR1519035	treatment	17-beta-estradiol	100 nM	-40	0	min
SRR1519036	treatment	17-beta-estradiol	100 nM	-40	0	min
SRR1519037	treatment	17-beta-estradiol	100 nM	-40	0	min
SRR1519038	treatment	TNF-alpha	25 ng/mL	-40	0	min
SRR1519039	treatment	TNF-alpha	25 ng/mL	-40	0	min
SRR1519040	treatment	TNF-alpha	25 ng/mL	-40	0	min
SRR1519041	treatment	17-beta-estradiol	100 nM	-40	0	min
SRR1519041	treatment	TNF-alpha	25 ng/mL	-40	0	min
SRR1519042	treatment	17-beta-estradiol	100 nM	-40	0	min
SRR1519042	treatment	TNF-alpha	25 ng/mL	-40	0	min
SRR1519043	treatment	17-beta-estradiol	100 nM	-40	0	min
SRR1519043	treatment	TNF-alpha	25 ng/mL	-40	0	min
SRR5085894	no treatment					
SRR5085895	treatment	ultraviolet C	15 J/m^2	-7201	-7200	s
SRR5085896	treatment	ultraviolet C	15 J/m^2	-18001	-18000	s
SRR5085897	treatment	ultraviolet C	15 J/m^2	-28801	-28800	s
SRR5085898	treatment	ultraviolet C	15 J/m^2	-36001	-36000	s
SRR5085899	treatment	ultraviolet C	15 J/m^2	-43201	-43200	s
SRR5085900	treatment	ultraviolet C	15 J/m^2	-86401	-86400	s
SRR5085734	treatment	DRB	100 microM	-220	-10	min
SRR5085735	treatment	DRB	100 microM	-235	-25	min
SRR5085736	treatment	DRB	100 microM	-250	-40	min
SRR5085737	treatment	DRB	100 microM	-220	-10	min
SRR5085737	treatment	ultraviolet C	15 J/m^2	-601	-600	s
SRR5085738	treatment	DRB	100 microM	-235	-25	min
SRR5085738	treatment	ultraviolet C	15 J/m^2	-1501	-1500	s
SRR5085739	treatment	DRB	100 microM	-250	-40	min
SRR5085739	treatment	ultraviolet C	15 J/m^2	-2401	-2400	s
SRR6782092	vehicle	DMSO	NA or not known	-24	0	hr
SRR6782093	treatment	rosiglitazone	1 microM	-24	0	hr
SRR6782094	treatment	rosiglitazone	1 microM	-24	0	hr
SRR6782095	treatment	rosiglitazone	1 microM	-24	0	hr
SRR6782096	vehicle	DMSO	NA or not known	-24	0	hr
SRR1297231	no treatment					
SRR1297232	no treatment					
SRR1297233	no treatment					
SRR1297234	no treatment					
SRR1297235	no treatment					
SRR1297236	no treatment					
SRR1297237	no treatment					
SRR1297238	no treatment					
SRR3313817	no treatment					
SRR3313818	no treatment					
SRR3313819	treatment	treadmill exercise	10 m/min	-7	-6	hr
SRR3313819	treatment	treadmill exercise	10 m/min	-5	-4	hr
SRR3313819	treatment	treadmill exercise	10 m/min	-3	-2	hr
SRR3313820	treatment	treadmill exercise	10 m/min	-7	-6	hr
SRR3313820	treatment	treadmill exercise	10 m/min	-5	-4	hr
SRR3313820	treatment	treadmill exercise	10 m/min	-3	-2	hr
SRR2059423	no treatment					
SRR2059424	no treatment					
SRR3309664	no treatment					
SRR3309665	no treatment					
SRR1652068	treatment	tetrodotoxin	1 microM	-14	0	hr
SRR1652069	treatment	tetrodotoxin	1 microM	-15	-1	hr
SRR1652069	treatment	KCl	55 mM	-1	0	hr
SRR1652070	treatment	tetrodotoxin	1 microM	-17	-3	hr
SRR1652070	treatment	KCl	55 mM	-3	0	hr
SRR1652071	treatment	tetrodotoxin	1 microM	-14	0	hr
SRR1652072	treatment	tetrodotoxin	1 microM	-15	-1	hr
SRR1652072	treatment	KCl	55 mM	-1	0	hr
SRR1652073	treatment	tetrodotoxin	1 microM	-17	-3	hr
SRR1652073	treatment	KCl	55 mM	-3	0	hr
SRR1652074	treatment	tetrodotoxin	1 microM	-14	0	hr
SRR1652075	treatment	tetrodotoxin	1 microM	-15	-1	hr
SRR1652075	treatment	KCl	55 mM	-1	0	hr
SRR1652076	treatment	tetrodotoxin	1 microM	-14	0	hr
SRR1652077	treatment	tetrodotoxin	1 microM	-15	-1	hr
SRR1652077	treatment	KCl	55 mM	-1	0	hr
SRR1772449	treatment	cell sorting HV-	NA or not known			
SRR1772450	treatment	cell sorting HV-	NA or not known			
SRR1772451	treatment	cell sorting HV+	NA or not known			
SRR1772452	treatment	cell sorting HV+	NA or not known			
SRR1823901	no treatment					
SRR1823902	no treatment					
SRR1823903	treatment	heat shock	43 Celsius	-30	0	min
SRR1823904	treatment	heat shock	43 Celsius	-30	0	min
SRR1560531	no treatment					
SRR1560532	no treatment					
SRR1560533	treatment	lipopolysaccharide	100 ng/mL	-20	0	min
SRR1560534	treatment	lipopolysaccharide	100 ng/mL	-20	0	min
SRR1560535	treatment	lipopolysaccharide	100 ng/mL	-60	0	min
SRR1560536	treatment	lipopolysaccharide	100 ng/mL	-60	0	min
SRR1560537	treatment	lipopolysaccharide	100 ng/mL	-180	0	min
SRR1560538	treatment	lipopolysaccharide	100 ng/mL	-180	0	min
SRR1806546	treatment	bromouridine	2 mM	-30	0	min
SRR1806547	treatment	bromouridine	2 mM	-30	0	min
SRR1806548	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR1806548	treatment	bromouridine	2 mM	-30	0	min
SRR1806549	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR1806549	treatment	bromouridine	2 mM	-30	0	min
SRR1806550	treatment	ultraviolet C	1 J/m^2/s	-7220	-7200	s
SRR1806550	treatment	bromouridine	2 mM	-30	0	min
SRR1806551	treatment	ultraviolet C	1 J/m^2/s	-7220	-7200	s
SRR1806551	treatment	bromouridine	2 mM	-30	0	min
SRR1806552	treatment	ultraviolet C	1 J/m^2/s	-21620	-21600	s
SRR1806552	treatment	bromouridine	2 mM	-30	0	min
SRR1806553	treatment	ultraviolet C	1 J/m^2/s	-21620	-21600	s
SRR1806553	treatment	bromouridine	2 mM	-30	0	min
SRR1806554	treatment	ultraviolet C	1 J/m^2/s	-86420	-86400	s
SRR1806554	treatment	bromouridine	2 mM	-30	0	min
SRR1806555	treatment	ultraviolet C	1 J/m^2/s	-86420	-86400	s
SRR1806555	treatment	bromouridine	2 mM	-30	0	min
SRR1806556	treatment	bromouridine	2 mM	-30	0	min
SRR1806557	treatment	bromouridine	2 mM	-30	0	min
SRR1806558	treatment	ultraviolet C	1 J/m^2/s	-1810	-1800	s
SRR1806558	treatment	bromouridine	2 mM	-30	0	min
SRR1806559	treatment	ultraviolet C	1 J/m^2/s	-1810	-1800	s
SRR1806559	treatment	bromouridine	2 mM	-30	0	min
SRR1806560	treatment	ultraviolet C	1 J/m^2/s	-7210	-7200	s
SRR1806560	treatment	bromouridine	2 mM	-30	0	min
SRR1806561	treatment	ultraviolet C	1 J/m^2/s	-7210	-7200	s
SRR1806561	treatment	bromouridine	2 mM	-30	0	min
SRR1806562	treatment	ultraviolet C	1 J/m^2/s	-21610	-21600	s
SRR1806562	treatment	bromouridine	2 mM	-30	0	min
SRR1806563	treatment	ultraviolet C	1 J/m^2/s	-21610	-21600	s
SRR1806563	treatment	bromouridine	2 mM	-30	0	min
SRR1806564	treatment	ultraviolet C	1 J/m^2/s	-86410	-86400	s
SRR1806564	treatment	bromouridine	2 mM	-30	0	min
SRR1806565	treatment	ultraviolet C	1 J/m^2/s	-86410	-86400	s
SRR1806565	treatment	bromouridine	2 mM	-30	0	min
SRR1806566	treatment	bromouridine	2 mM	-30	0	min
SRR1806567	treatment	bromouridine	2 mM	-30	0	min
SRR1806568	treatment	ultraviolet C	1 J/m^2/s	-1810	-1800	s
SRR1806568	treatment	bromouridine	2 mM	-30	0	min
SRR1806569	treatment	ultraviolet C	1 J/m^2/s	-1810	-1800	s
SRR1806569	treatment	bromouridine	2 mM	-30	0	min
SRR1806570	treatment	ultraviolet C	1 J/m^2/s	-7210	-7200	s
SRR1806570	treatment	bromouridine	2 mM	-30	0	min
SRR1806571	treatment	ultraviolet C	1 J/m^2/s	-7210	-7200	s
SRR1806571	treatment	bromouridine	2 mM	-30	0	min
SRR1806572	treatment	ultraviolet C	1 J/m^2/s	-21610	-21600	s
SRR1806572	treatment	bromouridine	2 mM	-30	0	min
SRR1806573	treatment	ultraviolet C	1 J/m^2/s	-21610	-21600	s
SRR1806573	treatment	bromouridine	2 mM	-30	0	min
SRR1806574	treatment	ultraviolet C	1 J/m^2/s	-86410	-86400	s
SRR1806574	treatment	bromouridine	2 mM	-30	0	min
SRR1806575	treatment	ultraviolet C	1 J/m^2/s	-86410	-86400	s
SRR1806575	treatment	bromouridine	2 mM	-30	0	min
SRR1806576	treatment	bromouridine	2 mM	-30	0	min
SRR1806577	treatment	bromouridine	2 mM	-30	0	min
SRR1806578	treatment	ultraviolet C	1 J/m^2/s	-1810	-1800	s
SRR1806578	treatment	bromouridine	2 mM	-30	0	min
SRR1806579	treatment	ultraviolet C	1 J/m^2/s	-1810	-1800	s
SRR1806579	treatment	bromouridine	2 mM	-30	0	min
SRR1806580	treatment	ultraviolet C	1 J/m^2/s	-7210	-7200	s
SRR1806580	treatment	bromouridine	2 mM	-30	0	min
SRR1806581	treatment	ultraviolet C	1 J/m^2/s	-7210	-7200	s
SRR1806581	treatment	bromouridine	2 mM	-30	0	min
SRR1806582	treatment	ultraviolet C	1 J/m^2/s	-21610	-21600	s
SRR1806582	treatment	bromouridine	2 mM	-30	0	min
SRR1806583	treatment	ultraviolet C	1 J/m^2/s	-21610	-21600	s
SRR1806583	treatment	bromouridine	2 mM	-30	0	min
SRR1806584	treatment	ultraviolet C	1 J/m^2/s	-86410	-86400	s
SRR1806584	treatment	bromouridine	2 mM	-30	0	min
SRR1806585	treatment	ultraviolet C	1 J/m^2/s	-86410	-86400	s
SRR1806585	treatment	bromouridine	2 mM	-30	0	min
SRR929970	treatment	bromouridine	2 mM	-30	0	min
SRR929971	treatment	bromouridine	2 mM	-30	0	min
SRR929972	treatment	bromouridine	2 mM	-30	0	min
SRR929973	treatment	bromouridine	2 mM	-30	0	min
SRR929974	treatment	bromouridine	2 mM	-30	0	min
SRR929975	treatment	bromouridine	2 mM	-30	0	min
SRR929976	treatment	bromouridine	2 mM	-30	0	min
SRR929977	treatment	bromouridine	2 mM	-30	0	min
SRR929978	treatment	camptothecin	20 microM	-60	0	min
SRR929978	treatment	bromouridine	2 mM	-15	0	min
SRR929979	treatment	camptothecin	20 microM	-75	-15	min
SRR929979	treatment	bromouridine	2 mM	-15	0	min
SRR929980	treatment	camptothecin	20 microM	-90	-30	min
SRR929980	treatment	bromouridine	2 mM	-15	0	min
SRR929981	treatment	bromouridine	2 mM	-30	0	min
SRR929982	treatment	bromouridine	2 mM	-30	0	min
SRR929983	treatment	camptothecin	20 microM	-60	0	min
SRR929983	treatment	bromouridine	2 mM	-15	0	min
SRR929984	treatment	camptothecin	20 microM	-75	-15	min
SRR929984	treatment	bromouridine	2 mM	-15	0	min
SRR929985	treatment	camptothecin	20 microM	-90	-30	min
SRR929985	treatment	bromouridine	2 mM	-15	0	min
SRR3194602	no treatment					
SRR3194603	treatment	enterocyte differentiation protocol	NA or not known			
SRR3194604	no treatment					
SRR3194605	treatment	enterocyte differentiation protocol	NA or not known			
SRR1734841	no treatment					
SRR1734843	no treatment					
SRR1734842	no treatment					
SRR1734844	no treatment					
SRR4842300	no treatment					
SRR4842301	no treatment					
SRR4842302	treatment	nocodazole	100 ng/mL	-570	-210	min
SRR4842302	treatment	cell sorting EGFP+	NA or not known	-210	-150	min
SRR4842302	treatment	cell sorting EGFP-	NA or not known	-60	0	min
SRR4842303	treatment	nocodazole	100 ng/mL	-570	-210	min
SRR4842303	treatment	cell sorting EGFP+	NA or not known	-210	-150	min
SRR4842303	treatment	cell sorting EGFP-	NA or not known	-60	0	min
SRR1991266	no treatment					
SRR1991267	vehicle	DMSO	NA or not known	-6	0	hr
SRR1991268	treatment	actinomycin D	1 microM	-6	0	hr
SRR352501	no treatment					
SRR352502	no treatment					
SRR352503	no treatment					
SRR352504	no treatment					
SRR352505	no treatment					
SRR352506	no treatment					
SRR1693609	no treatment					
SRR1693610	no treatment					
SRR1693611	no treatment					
SRR1693612	no treatment					
SRR1501091	no treatment					
SRR1501092	no treatment					
SRR1501093	treatment	nutlin-3	8 microM	-12	0	hr
SRR1501094	treatment	nutlin-3	8 microM	-12	0	hr
SRR1611829	no treatment					
SRR1611830	no treatment					
SRR1611831	no treatment					
SRR1611832	no treatment					
SRR1611833	no treatment					
SRR1611834	no treatment					
SRR1611835	treatment	anti-CD40	500 ng/mL	-60	0	hr
SRR1611835	treatment	interleukin-4	25 ng/mL	-60	0	hr
SRR1611836	treatment	anti-CD40	500 ng/mL	-60	0	hr
SRR1611836	treatment	interleukin-4	25 ng/mL	-60	0	hr
SRR1611837	treatment	anti-CD40	500 ng/mL	-60	0	hr
SRR1611837	treatment	interleukin-4	25 ng/mL	-60	0	hr
SRR1611838	no treatment					
SRR1611839	no treatment					
SRR1611840	no treatment					
SRR1342250	treatment	serum starvation	0.5% FBS	-24	0	hr
SRR1342250	treatment	EGF	100 ng/mL	-30	0	min
SRR1342251	treatment	doxycycline	1 microg/mL	-96	0	hr
SRR1342251	treatment	serum starvation	0.5% FBS	-24	0	hr
SRR1342251	treatment	EGF	100 ng/mL	-30	0	min
SRR1342252	treatment	serum starvation	0.5% FBS	-24	0	hr
SRR1342252	treatment	EGF	100 ng/mL	-30	0	min
SRR1342253	treatment	doxycycline	1 microg/mL	-96	0	hr
SRR1342253	treatment	serum starvation	0.5% FBS	-24	0	hr
SRR1342253	treatment	EGF	100 ng/mL	-30	0	min
SRR930649	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930650	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930651	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930652	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930653	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930654	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930655	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930656	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930657	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930658	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930659	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930659	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930660	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930660	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930661	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930661	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930662	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930662	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930663	treatment	serum starvation	0.5% FBS	-20	0	hr
SRR930663	treatment	Kdo2-Lipid A	100 ng/mL	-6	0	hr
SRR930664	treatment	serum starvation	0.5% FBS	-20	0	hr
SRR930664	treatment	Kdo2-Lipid A	100 ng/mL	-6	0	hr
SRR930665	treatment	serum starvation	0.5% FBS	-26	0	hr
SRR930665	treatment	Kdo2-Lipid A	100 ng/mL	-12	0	hr
SRR930666	treatment	serum starvation	0.5% FBS	-26	0	hr
SRR930666	treatment	Kdo2-Lipid A	100 ng/mL	-12	0	hr
SRR930667	treatment	serum starvation	0.5% FBS	-38	0	hr
SRR930667	treatment	Kdo2-Lipid A	100 ng/mL	-24	0	hr
SRR930668	treatment	serum starvation	0.5% FBS	-38	0	hr
SRR930668	treatment	Kdo2-Lipid A	100 ng/mL	-24	0	hr
SRR930669	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930670	treatment	serum starvation	0.5% FBS	-850	0	min
SRR930670	treatment	Kdo2-Lipid A	100 ng/mL	-10	0	min
SRR930671	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930671	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930672	treatment	serum starvation	0.5% FBS	-20	0	hr
SRR930672	treatment	Kdo2-Lipid A	100 ng/mL	-6	0	hr
SRR930673	treatment	serum starvation	0.5% FBS	-26	0	hr
SRR930673	treatment	Kdo2-Lipid A	100 ng/mL	-12	0	hr
SRR930674	treatment	serum starvation	0.5% FBS	-38	0	hr
SRR930674	treatment	Kdo2-Lipid A	100 ng/mL	-24	0	hr
SRR930675	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930676	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930677	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930678	treatment	serum starvation	0.5% FBS	-14	0	hr
SRR930679	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930679	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930680	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930680	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930681	treatment	serum starvation	0.5% FBS	-20	0	hr
SRR930681	treatment	Kdo2-Lipid A	100 ng/mL	-6	0	hr
SRR930682	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930682	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930683	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930683	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930684	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930684	vehicle	DMSO	NA or not known	-2	0	hr
SRR930685	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930685	treatment	flavopiridol	1 microM	-2	0	hr
SRR930686	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930686	treatment	IBET151	1 microM	-2	0	hr
SRR930687	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930687	vehicle	DMSO	NA or not known	-2	0	hr
SRR930687	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930688	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930688	treatment	flavopiridol	1 microM	-2	0	hr
SRR930688	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930689	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930689	treatment	IBET151	1 microM	-2	0	hr
SRR930689	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930690	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930690	treatment	flavopiridol	1 microM	-2	0	hr
SRR930690	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR930691	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930691	vehicle	DMSO	NA or not known	-2	0	hr
SRR930692	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930692	vehicle	DMSO	NA or not known	-2	0	hr
SRR930693	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930693	vehicle	DMSO	NA or not known	-2	0	hr
SRR930694	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930694	vehicle	DMSO	NA or not known	-2	0	hr
SRR930695	treatment	serum starvation	0.5% FBS	-15	0	hr
SRR930695	vehicle	DMSO	NA or not known	-2	0	hr
SRR930695	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
