search_term	db_term	term_category
gamma-secretase inhibitor	gamma-secretase inhibitor	treatment
gammaSI	gamma-secretase inhibitor	treatment
antisense	antisense	treatment
anti-sense	antisense	treatment
oxPAPC	oxPAPC	treatment
oxidized 1-palmitoyl-2-archidonoyl-sn-glycero-3-phophocholine	oxPAPC	treatment
nitro-octadec-9-enoic acid	nitro-octadec-9-enoic acid	treatment
OA-NO2	nitro-octadec-9-enoic acid	treatment
cortistatin A	cortistatin A	treatment
cortistatin	cortistatin A	treatment
low fat diet	low fat diet	treatment
pladienolides B	pladienolides B	treatment
pladienolides	pladienolides B	treatment
flavopiridol	flavopiridol	treatment
flavo	flavopiridol	treatment
treadmill exercise	treadmill exercise	treatment
exercise	treadmill exercise	treatment
tetrodotoxin	tetrodotoxin	treatment
TTX	tetrodotoxin	treatment
KCl	KCl	treatment
potassium chloride	KCl	treatment
cell sorting HV-	cell sorting HV-	treatment
cell sorting HV negative	cell sorting HV-	treatment
cell sorting HV+	cell sorting HV+	treatment
cell sorting HV positive	cell sorting HV+	treatment
HV-	cell sorting HV-	treatment
HV negative	cell sorting HV-	treatment
HV+	cell sorting HV+	treatment
HV positive	cell sorting HV+	treatment
heat shock	heat shock	treatment
heat	heat shock	treatment
camptothecin	camptothecin	treatment
CPT	camptothecin	treatment
nocodazole	nocodazole	treatment
cell sorting EGFP+	cell sorting EGFP+	treatment
EGFP+	cell sorting EGFP+	treatment
cell sorting EGFP-	cell sorting EGFP-	treatment
EGFP-	cell sorting EGFP-	treatment
cell sorting EGFP positive	cell sorting EGFP+	treatment
EGFP positive	cell sorting EGFP+	treatment
cell sorting EGFP negative	cell sorting EGFP-	treatment
EGFP negative	cell sorting EGFP-	treatment
cell sorting GFP+	cell sorting EGFP+	treatment
GFP+	cell sorting EGFP+	treatment
cell sorting GFP-	cell sorting EGFP-	treatment
GFP-	cell sorting EGFP-	treatment
cell sorting GFP positive	cell sorting EGFP+	treatment
GFP positive	cell sorting EGFP+	treatment
cell sorting GFP negative	cell sorting EGFP-	treatment
GFP negative	cell sorting EGFP-	treatment
serum starvation	serum starvation	treatment
rEGF	EGF	treatment
recombinant EGF	EGF	treatment
epidermal growth factor	EGF	treatment
EGF	EGF	treatment
recombinant epidermal growth factor	EGF	treatment
IBET151	IBET151	treatment
IBET 151	IBET151	treatment
IBET-151	IBET151	treatment
triptolide	triptolide	treatment
alpha-amanitin	alpha-amanitin	treatment
alpha amanitin	alpha-amanitin	treatment
amanitin	alpha-amanitin	treatment
stromal cell co-culture	stromal cell co-culture	treatment
stromal cells	stromal cell co-culture	treatment
differentiated (A) stromal cell co-culture	differentiated (A) stromal cell co-culture	treatment
differentiated (O) stromal cell co-culture	differentiated (O) stromal cell co-culture	treatment
AKTi-1/2	AKTi-1/2	treatment
AKT inhibitor-1/2	AKTi-1/2	treatment
AKT inhibitor 1/2	AKTi-1/2	treatment
RGFP966	RGFP966	treatment
RGFP 966	RGFP966	treatment
RGFP-966	RGFP966	treatment
HDAC3 inhibitor RGFP966	RGFP966	treatment
GDNF	GDNF	treatment
glial cell line-derived neurotrophic factor	GDNF	treatment
glial cell line derived neurotrophic factor	GDNF	treatment
glial cell derived neurotrophic factor	GDNF	treatment
glial cell-derived neurotrophic factor	GDNF	treatment
influenza A virus Flag-NS1	influenza A virus Flag-NS1	treatment
influenza A virus Flag-deltaPAF	influenza A virus Flag-deltaPAF	treatment
HSV-1	HSV-1	treatment
HSV1	HSV-1	treatment
HSV 1	HSV-1	treatment
herpes simplex virus 1	HSV-1	treatment
mock infection medium	mock infection medium	treatment
mock infection	mock infection medium	treatment
doxycycline withdrawal	doxycycline withdrawal	treatment
celastrol	celastrol	treatment
hypoxia	hypoxia	treatment
retinoic acid	retinoic acid	treatment
Nedd4 intronic antisense oligonucleotide 2	Nedd4 intronic antisense oligonucleotide 2	treatment
Nedd4 exonic antisense oligonucleotide 2	Nedd4 exonic antisense oligonucleotide 2	treatment
Nedd4 exonic antisense oligonucleotide 3	Nedd4 exonic antisense oligonucleotide 3	treatment
control antisense oligonucleotide	control antisense oligonucleotide	treatment
Atxn10 intronic antisense oligonucleotide 1	Atxn10 intronic antisense oligonucleotide 1	treatment
Atxn10 exonic antisense oligonucleotide 1	Atxn10 exonic antisense oligonucleotide 1	treatment
7SK antisense oligonucleotide	7SK antisense oligonucleotide	treatment
influenza virus strain PR8-delta-NS1	influenza virus strain PR8-delta-NS1	treatment
reelin	reelin	treatment
RELN	reelin	treatment
leflunomide	leflunomide	treatment
A771726	A771726	treatment
teriflunomide	A771726	treatment
JQ1	JQ1	treatment
JQ-1	JQ1	treatment
BET bromodomain inhibitor JQ1	JQ1	treatment
MS417	MS417	treatment
MS-417	MS417	treatment
PJ34	PJ34	treatment
PJ 34	PJ34	treatment
PJ-34	PJ34	treatment
charcoal-stripped FBS	charcoal-stripped FBS	treatment
thymidine	thymidine	treatment
activin A	activin A	treatment
activin	activin	treatment
Wnt3a	Wnt3a	treatment
VEGF-A165	VEGF-A165	treatment
VEGFA	VEGF-A	treatment
VEGF-A	VEGF-A	treatment
vascular endothelial growth factor A	VEGF-A	treatment
vascular endothelial growth factor-A	VEGF-A	treatment
vascular endothelial growth factor-A165	VEGF-A165	treatment
vascular endothelial growth factor A165	VEGF-A165	treatment
various	various	treatment
RPMI/B27	RPMI/B27	treatment
B27 supplement	RPMI/B27	treatment
G-CSF	G-CSF	treatment
GCSF	G-CSF	treatment
granulocyte colony stimulating factor	G-CSF	treatment
auxin	auxin	treatment
aux	auxin	treatment
gamma-secretase inhibitor	gamma-secretase inhibitor	treatment
GSI	gamma-secretase inhibitor	treatment
cold stress	cold stress	treatment
cold	cold stress	treatment
light cycle	light cycle	treatment
light	light cycle	treatment
5-aza-2'-deoxycytidine	5-aza-2'-deoxycytidine	treatment
5-aza-CdR	5-aza-2'-deoxycytidine	treatment
replicatively passaging until senescent	replicatively passaging until senescent	treatment
dexamethasone	dexamethasone	treatment
dex	dexamethasone	treatment
HCMV strain TB40/E	HCMV strain TB40/E	treatment
HCMV strain Towne varS	HCMV strain Towne varS	treatment
HCMV strain Towne BAC	HCMV strain Towne BAC	treatment
HCMV strain Towne IE2 BAC	HCMV strain Towne IE2 BAC	treatment
HCMV strain Towne IE2F BAC	HCMV strain Towne IE2F BAC	treatment
HCMV strain TB40/E IE2F	HCMV strain TB40/E IE2F	treatment
HCMV strain TB40/E IE2	HCMV strain TB40/E IE2	treatment
thapsigargin	thapsigargin	treatment
glucose-free media	glucose-free media	treatment
TGF-beta	TGF-beta	treatment
transforming growth factor beta	TGF-beta	treatment
TGF beta	TGF-beta	treatment
TGFb	TGF-beta	treatment
TGFbeta	TGF-beta	treatment
cycloheximide	cycloheximide	treatment
phosphonoacetic acid	phosphonoacetic acid	treatment
acyclovir	acyclovir	treatment
dsRNA beta-galactosidase	dsRNA beta-galactosidase	treatment
dsRNA beta-Gal	dsRNA beta-galactosidase	treatment
dsRNA IntS9	dsRNA IntS9	treatment
dsRNA LacZ	dsRNA LacZ	treatment
dsRNA LacI	dsRNA LacI	treatment
dsRNA Taf1	dsRNA Taf1	treatment
dsRNA Gaf	dsRNA Gaf	treatment
dsRNA Hsf	dsRNA Hsf	treatment
dsRNA M1bp	dsRNA M1bp	treatment
dsRNA Fcp1	dsRNA Fcp1	treatment
dsRNA EGFP	dsRNA EGFP	treatment
dsRNA Msl2	dsRNA Msl2	treatment
dsRNA Bap170	dsRNA Bap170	treatment
dsRNA Nurf301	dsRNA Nurf301	treatment
dsRNA Rad21	dsRNA Rad21	treatment
dsRNA Nipped-B	dsRNA Nipped-B	treatment
dsRNA IntS8	dsRNA IntS8	treatment
enterocyte differentiation protocol	enterocyte differentiation protocol	treatment
myotube differentiation protocol	myotube differentiation protocol	treatment
embryoid body differentiation protocol	embryoid body differentiation protocol	treatment
hepatocyte differentiation protocol 2	hepatocyte differentiation protocol 2	treatment
hepatocyte differentiation protocol 1	hepatocyte differentiation protocol 1	treatment
pancreatic differentiation protocol	pancreatic differentiation protocol	treatment
ICI 182,780	ICI 182,780	treatment
ICI 182780	ICI 182,780	treatment
ICI182780	ICI 182,780	treatment
ICI182,780	ICI 182,780	treatment
2,5-hexanediol	2,5-hexanediol	treatment
2,5 hexanediol	2,5-hexanediol	treatment
1,6-hexanediol	1,6-hexanediol	treatment
1,6 hexanediol	1,6-hexanediol	treatment
cell sorting CD23+	cell sorting CD23+	treatment
CD23+	cell sorting CD23+	treatment
cell sorting CD23 positive	cell sorting CD23+	treatment
CD23 positive	cell sorting CD23+	treatment
cell sorting CD19+	cell sorting CD19+	treatment
CD19+	cell sorting CD19+	treatment
cell sorting CD19 positive	cell sorting CD19+	treatment
CD19 positive	cell sorting CD19+	treatment
C37 control drug	C37 control drug	treatment
C37	C37 control drug	treatment
C646 CBP inhibitor	C646 CBP inhibitor	treatment
C646	C646 CBP inhibitor	treatment
FCCP	FCCP	treatment
Trifluoromethoxy carbonylcyanide phenylhydrazone	FCCP	treatment
Carbonyl cyanide-p-trifluoromethoxyphenylhydrazone	FCCP	treatment
Spt5-Pol II small-molecule inhibitor 21	Spt5-Pol II small-molecule inhibitor 21	treatment
R1881	R1881	treatment
metribolone	R1881	treatment
C3	C3	treatment
high fat diet	high fat diet	treatment
pinometostat	pinometostat	treatment
DMSO/ethanol	DMSO/ethanol	treatment
SD70	SD70	treatment
SD-70	SD70	treatment
idelalisib	idelalisib	treatment
duvelisib	duvelisib	treatment
KM05283	KM05283	treatment
KM-05283	KM05283	treatment
adipocyte differentiation protocol	adipocyte differentiation protocol	treatment
romidepsin	romidepsin	treatment
heat pretreatment	heat pretreatment	treatment
gestation	gestation	treatment
GC-1	GC-1	treatment
GC1	GC-1	treatment
growth media	growth media	treatment
methanol	methanol	treatment
MeOH	methanol	treatment
nitro-octadec-9-enoic acid	nitro-octadec-9-enoic acid	treatment
9E-nitro-octadec-9-enoic acid	nitro-octadec-9-enoic acid	treatment
9-nitro-9E-octadecenoic acid	nitro-octadec-9-enoic acid	treatment
9E-9-nitrooctadecenoic acid	nitro-octadec-9-enoic acid	treatment
(9E)-9-nitrooctadecenoic acid	nitro-octadec-9-enoic acid	treatment
cisplatin	cisplatin	treatment
vehicle	vehicle	treatment
STI-571	STI-571	treatment
STI571	STI-571	treatment
imatinib	STI-571	treatment
indoleacetic acid	indoleacetic acid	treatment
IAA	indoleacetic acid	treatment
thermoneutrality	thermoneutrality	treatment
PD0325901	PD0325901	treatment
PD 0325901	PD0325901	treatment
PD-0325901	PD0325901	treatment
CH99021	CH99021	treatment
CH-99021	CH99021	treatment
CH 99021	CH99021	treatment
anti-CD180	anti-CD180	treatment
antiCD180	anti-CD180	treatment
anti-IgD-dextran	anti-IgD-dextran	treatment
antiIgD dextran	anti-IgD-dextran	treatment
antiIgD-dextran	anti-IgD-dextran	treatment
anti-IgD dextran	anti-IgD-dextran	treatment
A23187	A23187	treatment
A-23187	A23187	treatment
calcimycin	A23187	treatment
permissive temperature	permissive temperature	treatment
non-permissive temperature	non-permissive temperature	treatment
non permissive temperature	non-permissive temperature	treatment
nonpermissive temperature	non-permissive temperature	treatment
mating	mating	treatment
estradiol	estradiol	treatment
starvation	starvation	treatment
dimethyloxalylglycine	dimethyloxalylglycine	treatment
DMOG	dimethyloxalylglycine	treatment
trichostatin A	trichostatin A	treatment
