srr	bigwig	tfit	mdscore	keyword	organism	tissue	general_celltype	specific_celltype	treatment_code	treated_or_like_treated	experiment_type	sample_name
SRR122339	1	1	1	Wang2011	human	prostate_cancer	LNCap	LNCaP	vehicle-siCTRL	no	GRO-seq	SRR122339
SRR122340	1	1	1	Wang2011	human	prostate_cancer	LNCap	LNCaP	dht-siCTRL	yes	GRO-seq	SRR122340
SRR122341	1	1	1	Wang2011	human	prostate_cancer	LNCap	LNCaP	dht-siFoxA1	yes	GRO-seq	SRR122341
SRR1224573	1	1	1	Allen2014	human	colon_cancer	HCT116	HCT116	DMSO_30min	no	GRO-seq	SRR1224573
SRR1224574	1	1	1	Allen2014	human	colon_cancer	HCT116	HCT116	Nutlin_30min	yes	GRO-seq	SRR1224574
SRR1275489	1	0	1	Tan2014	human	malignant_melaoma	A375	A375	DMSO_48hr	no	GRO-seq	SRR1275489
SRR1275490	1	0	1	Tan2014	human	malignant_melaoma	A375	A375	DMSO_48hr	no	GRO-seq	SRR1275490
SRR1275491	1	0	1	Tan2014	human	malignant_melaoma	A375	A375	Leflunomide_48hr	yes	GRO-seq	SRR1275491
SRR1275492	1	0	1	Tan2014	human	malignant_melaoma	A375	A375	Leflunomide_48hr	yes	GRO-seq	SRR1275492
SRR1275493	1	0	1	Tan2014	human	malignant_melaoma	A375	A375	A771726_48hr	yes	GRO-seq	SRR1275493
SRR1275494	1	0	1	Tan2014	human	malignant_melaoma	A375	A375	A771726_48hr	yes	GRO-seq	SRR1275494
SRR1342250	1	1	1	Gardini2014	human	cervical_cancer	HeLa	HeLa	EGF_20min	yes	GRO-seq	SRR1342250
SRR1342251	1	1	1	Gardini2014	human	cervical_cancer	HeLa	HeLa	EGF_20min_shRNA_Integrator	yes	GRO-seq	SRR1342251
SRR1342252	1	1	1	Gardini2014	human	cervical_cancer	HeLa	HeLa	EGF_20min	yes	GRO-seq	SRR1342252
SRR1342253	1	1	1	Gardini2014	human	cervical_cancer	HeLa	HeLa	EGF_20min_shRNA_Integrator	yes	GRO-seq	SRR1342253
SRR1406747	1	1	1	Kaikkonen2014	human	Umbilical	Endothelial	HUVEC	control_2hr	no	GRO-seq	SRR1406747
SRR1406748	1	1	1	Kaikkonen2014	human	Umbilical	Endothelial	HUVEC	VEGFA_2hr	yes	GRO-seq	SRR1406748
SRR1501091	1	1	1	Leveille2015	human	breast_cancer	MCF7	MCF7	DMSO_12hr	no	GRO-seq	SRR1501091
SRR1501092	1	1	1	Leveille2015	human	breast_cancer	MCF7	MCF7	DMSO_12hr	no	GRO-seq	SRR1501092
SRR1501093	1	1	1	Leveille2015	human	breast_cancer	MCF7	MCF7	Nutlin_12hr	no	GRO-seq	SRR1501093
SRR1501094	1	1	1	Leveille2015	human	breast_cancer	MCF7	MCF7	Nutlin_12hr	no	GRO-seq	SRR1501094
SRR1519032	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	vehicle_40min	no	GRO-seq	SRR1519032
SRR1519033	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	vehicle_40min	no	GRO-seq	SRR1519033
SRR1519034	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	vehicle_40min	no	GRO-seq	SRR1519034
SRR1519035	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRR1519035
SRR1519036	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRR1519036
SRR1519037	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRR1519037
SRR1519038	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	TNFa_40min	yes	GRO-seq	SRR1519038
SRR1519039	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	TNFa_40min	yes	GRO-seq	SRR1519039
SRR1519040	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	TNFa_40min	yes	GRO-seq	SRR1519040
SRR1519041	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	E2_TNFa_40min	yes	GRO-seq	SRR1519041
SRR1519042	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	E2_TNFa_40min	yes	GRO-seq	SRR1519042
SRR1519043	1	0	1	Franco2015	human	breast_cancer	MCF7	MCF7	E2_TNFa_40min	yes	GRO-seq	SRR1519043
SRR1542320	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	siCTL_vehicle	no	GRO-seq	SRR1542320
SRR1542321	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	siCTL_E2	yes	GRO-seq	SRR1542321
SRR1542322	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	siGATA3_vehicle	yes	GRO-seq	SRR1542322
SRR1542323	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	siGATA3_E2	yes	GRO-seq	SRR1542323
SRR1542324	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shCTL_vehicle	yes	GRO-seq	SRR1542324
SRR1542325	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shCTL_RA	yes	GRO-seq	SRR1542325
SRR1542326	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shCTL_E2	yes	GRO-seq	SRR1542326
SRR1542327	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shRARs_vehicle	yes	GRO-seq	SRR1542327
SRR1542328	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shRARs_RA	yes	GRO-seq	SRR1542328
SRR1542329	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shRARs_E2	yes	GRO-seq	SRR1542329
SRR1542330	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shCTL_vehicle	yes	GRO-seq	SRR1542330
SRR1542331	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shCTL_E2	yes	GRO-seq	SRR1542331
SRR1542332	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shAP2g_vehicle	yes	GRO-seq	SRR1542332
SRR1542333	1	1	1	Liu2014	human	breast_cancer	MCF7	MCF7	shAP2g_E2	yes	GRO-seq	SRR1542333
SRR1544604	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	none	no	NET-seq	SRR1544604
SRR1544605	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	none	no	NET-seq	SRR1544605
SRR1544606	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	none	no	NET-seq	SRR1544606
SRR1544608	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siLuc	yes	NET-seq	SRR1544608
SRR1544609	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siCPSF73	yes	NET-seq	SRR1544609
SRR1544610	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siCstF64+siCstF64tau	yes	NET-seq	SRR1544610
SRR1544611	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siXrn2	yes	NET-seq	SRR1544611
SRR1552315	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	none	no	NET-seq	SRR1552315
SRR1552316	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	none	no	NET-seq	SRR1552316
SRR1552480	1	1	1	Core2014	human	leukemia	K562	K562	na	no	GRO-cap	SRR1552480
SRR1552481	1	1	1	Core2014	human	leukemia	K562	K562	na	no	GRO-cap	SRR1552481
SRR1552482	1	1	1	Core2014	human	Myeloid	B-cell	GM12878	na	no	GRO-cap	SRR1552482
SRR1552483	1	1	1	Core2014	human	Myeloid	B-cell	GM12878	na	no	GRO-cap	SRR1552483
SRR1552484	1	1	1	Core2014	human	leukemia	K562	K562	na	no	GRO-seq	SRR1552484
SRR1552485	1	1	1	Core2014	human	Myeloid	B-cell	GM12878	na	no	GRO-seq	SRR1552485
SRR1554311	1	1	1	Core2014	human	leukemia	K562	K562	na	no	PRO-seq	SRZ1554311
SRR1554312	1	1	1	Core2014	human	leukemia	K562	K562	na	no	PRO-seq	SRZ1554311
SRR1574538	1	1	1	Chen2014	human	cervical_cancer	HeLa	HeLa	siCtrl	yes	GRO-seq	SRR1574538
SRR1574539	1	1	1	Chen2014	human	cervical_cancer	HeLa	HeLa	siSsu72	yes	GRO-seq	SRR1574539
SRR1575914	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	none	no	NET-seq	SRZ1575914
SRR1575915	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	none	no	NET-seq	SRZ1575914
SRR1575916	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	none	no	NET-seq	SRZ1575914
SRR1575917	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	none	no	NET-seq	SRZ1575914
SRR1575918	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	none	no	NET-seq	SRZ1575914
SRR1575919	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	none	no	NET-seq	SRZ1575919
SRR1575920	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	none	no	NET-seq	SRZ1575919
SRR1575921	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	
SRR1575922	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	
SRR1575923	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	SRZ1575923
SRR1575924	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	SRZ1575923
SRR1575925	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	SRZ1575923
SRR1575926	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	SRZ1575923
SRR1575927	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	SRZ1575923
SRR1575928	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	SRZ1575923
SRR1575929	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	DMSO	no	NET-seq	SRZ1575929
SRR1575930	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	DMSO	no	NET-seq	SRZ1575929
SRR1575931	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	DMSO	no	NET-seq	SRZ1575929
SRR1575932	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	FP	yes	NET-seq	SRZ1575932
SRR1575933	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	FP	yes	NET-seq	SRZ1575932
SRR1575934	1	0	1	Mayer2015	human	cervical_cancer	HeLa	HeLaS3	FP	yes	NET-seq	SRZ1575932
SRR1596500	1	1	1	Andersson2014	human	cervical_cancer	HeLa	HeLa	vehicle	no	GRO-seq	SRR1596500
SRR1596501	1	1	1	Andersson2014	human	cervical_cancer	HeLa	HeLa	vehicle	no	GRO-seq	SRR1596501
SRR1609863	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	Etoh_1hr_siCTL	yes	GRO-seq	SRR1609863
SRR1609864	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	E2_1hr_siCTL	yes	GRO-seq	SRR1609864
SRR1609865	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	Etoh_1hr_siNCAPG	yes	GRO-seq	SRR1609865
SRR1609866	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	E2_1hr_siNCAPG	yes	GRO-seq	SRR1609866
SRR1609867	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	Etoh_1hr_siCTL	yes	GRO-seq	SRR1609867
SRR1609868	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	E2_1hr_siCTL	yes	GRO-seq	SRR1609868
SRR1609869	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	Etoh_1hr_siNCAPD3	yes	GRO-seq	SRR1609869
SRR1609870	1	0	1	Li2015	human	breast_cancer	MCF7	MCF7	E2_1hr_siNCAPD3	yes	GRO-seq	SRR1609870
SRR1611840	1	1	1	Meng2014a	human	Myeloid	B-cell	Ramos	none	no	GRO-seq	SRR1611840
SRR1648886	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_vehicle	no	GRO-seq	SRR1648886
SRR1648887	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_dht	yes	GRO-seq	SRR1648887
SRR1648888	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siTOP1_1hr_vehicle	yes	GRO-seq	SRR1648888
SRR1648889	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siTOP1_1hr_dht	yes	GRO-seq	SRR1648889
SRR1648890	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_vehicle	no	GRO-seq	SRR1648890
SRR1648891	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_dht	yes	GRO-seq	SRR1648891
SRR1648892	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siMRE11_1hr_vehicle	yes	GRO-seq	SRR1648892
SRR1648893	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siMRE11_1hr_dht	yes	GRO-seq	SRR1648893
SRR1648894	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siNKX3.1_1hr_vehicle	yes	GRO-seq	SRR1648894
SRR1648895	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siNKX3.1_1hr_dht	yes	GRO-seq	SRR1648895
SRR1648896	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_vehicle	no	GRO-seq	SRZ1648896
SRR1648897	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_vehicle	no	GRO-seq	SRZ1648896
SRR1648898	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_dht	yes	GRO-seq	SRZ1648898
SRR1648899	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_dht	yes	GRO-seq	SRZ1648898
SRR1648900	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siMRE11_1hr_vehicle	yes	GRO-seq	SRR1648900
SRR1648901	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siMRE11_1hr_dht	yes	GRO-seq	SRR1648901
SRR1648904	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	vehicle_1hr	yes	PRO-cap	SRR1648904
SRR1648905	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	dht_1hr	yes	PRO-cap	SRR1648905
SRR1648909	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_vehicle	no	GRO-seq	SRR1648909
SRR1648910	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siControl_1hr_dht	yes	GRO-seq	SRR1648910
SRR1648911	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siTOP1_1hr_vehicle	yes	GRO-seq	SRR1648911
SRR1648912	1	1	1	Puc2015	human	prostate_cancer	LNCap	LNCaP	siTOP1_1hr_dht	yes	GRO-seq	SRR1648912
SRR1661564	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_wt_pol_II	yes	GRO-seq	SRR1661564
SRR1661565	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_wt_pol_II_DRB	yes	GRO-seq	SRR1661565
SRR1661566	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_wt_pol_II_washout_10min	yes	GRO-seq	SRR1661566
SRR1661567	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_wt_pol_III_washout_20min	yes	GRO-seq	SRR1661567
SRR1661568	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_R749H_pol_II	yes	GRO-seq	SRR1661568
SRR1661569	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_R749H_pol_II_DRB	yes	GRO-seq	SRR1661569
SRR1661570	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_R749H_pol_II_washout_10min	yes	GRO-seq	SRR1661570
SRR1661571	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_R749H_pol_II_washout_20min	yes	GRO-seq	SRR1661571
SRR1661572	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_H1106Y_pol_II	yes	GRO-seq	SRR1661572
SRR1661573	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_H1106Y_pol_II_DRB	yes	GRO-seq	SRR1661573
SRR1661574	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_H1106Y_pol_II_washout_10min	yes	GRO-seq	SRR1661574
SRR1661575	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_H1106Y_pol_II_washout_20min	yes	GRO-seq	SRR1661575
SRR1661576	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_E1126G_pol_II_DRB	yes	GRO-seq	SRR1661576
SRR1661577	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_E1126G_pol_II_DRB	yes	GRO-seq	SRR1661577
SRR1661578	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_E1126G_pol_II_washout_10min	yes	GRO-seq	SRR1661578
SRR1661579	1	1	1	Fong2014	human	Embryonic_Kidney	HEK293	HEK293	plasmid_E1126G_pol_II_washout_20min	yes	GRO-seq	SRR1661579
SRR1693609	1	1	1	Duttke2015	human	cervical_cancer	HeLa	HeLaS3	na	no	5'GRO	SRZ1693609
SRR1693610	1	1	1	Duttke2015	human	cervical_cancer	HeLa	HeLaS3	na	no	5'GRO	SRZ1693609
SRR1693611	1	1	1	Duttke2015	human	cervical_cancer	HeLa	HeLaS3	na	no	GRO-seq	SRZ1693611
SRR1693612	1	1	1	Duttke2015	human	cervical_cancer	HeLa	HeLaS3	na	no	GRO-seq	SRZ1693611
SRR1736059	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	DMSO	no	NET-seq	SRR1736059
SRR1736060	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	Pla-B	yes	NET-seq	SRR1736060
SRR1736061	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siCPSF73	yes	NET-seq	SRR1736061
SRR1736062	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siCPSF73	yes	NET-seq	SRR1736062
SRR1736063	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siLuc	yes	NET-seq	SRR1736063
SRR1736064	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siLuc	yes	NET-seq	SRR1736064
SRR1736065	1	0	1	Nojima2015	human	cervical_cancer	HeLa	HeLa	siPTBP1	yes	NET-seq	SRR1736065
SRR1745515	1	0	1	Estaras2015	human	ESC	ESC	H1	none	no	GRO-seq	SRZ1745515
SRR1745516	1	0	1	Estaras2015	human	ESC	ESC	H1	none	no	GRO-seq	SRZ1745515
SRR1745517	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a_6hr	yes	GRO-seq	SRZ1745517
SRR1745518	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a_6hr	yes	GRO-seq	SRZ1745517
SRR1745519	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a+Activin_A(WA)_6hr	yes	GRO-seq	SRZ1745519
SRR1745520	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a+Activin_A(WA)_6hr	yes	GRO-seq	SRZ1745519
SRR1745521	1	0	1	Estaras2015	human	ESC	ESC	H1	Activin-A_6hr	yes	GRO-seq	SRZ1745521
SRR1745522	1	0	1	Estaras2015	human	ESC	ESC	H1	Activin-A_6hr	yes	GRO-seq	SRZ1745521
SRR1745523	1	0	1	Estaras2015	human	ESC	ESC	H1	none	no	GRO-seq	SRZ1745523
SRR1745524	1	0	1	Estaras2015	human	ESC	ESC	H1	none	no	GRO-seq	SRZ1745523
SRR1745525	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a+Activin-A(WA)_6hr	yes	GRO-seq	SRZ1745525
SRR1745526	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a+Activin_A(WA)_6hr	yes	GRO-seq	SRZ1745525
SRR1745527	1	0	1	Estaras2015	human	ESC	ESC	H1	none	no	GRO-seq	SRZ1745527
SRR1745528	1	0	1	Estaras2015	human	ESC	ESC	H1	none	no	GRO-seq	SRZ1745527
SRR1745529	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a+Activin_A(WA)_6hr	yes	GRO-seq	SRZ1745529
SRR1745530	1	0	1	Estaras2015	human	ESC	ESC	H1	Wnt3a+Activin_A(WA)_6hr	yes	GRO-seq	SRZ1745529
SRR1810067	1	1	1	Danko2015	human	Myeloid	T-cell	CD4+	na	no	PRO-seq	SRZ1810067
SRR1810068	1	1	1	Danko2015	human	Myeloid	T-cell	CD4+	na	no	PRO-seq	SRZ1810067
SRR1810069	1	1	1	Danko2015	human	Myeloid	T-cell	CD4+	na	no	PRO-seq	SRZ1810067
SRR1810070	1	1	1	Danko2015	human	Myeloid	T-cell	CD4+	na	no	PRO-seq	SRZ1810067
SRR1810071	1	1	1	Danko2015	human	Myeloid	T-cell	Jurkat	na	no	PRO-seq	SRZ1810071
SRR1810072	1	1	1	Danko2015	human	Myeloid	T-cell	Jurkat	na	no	PRO-seq	SRZ1810071
SRR1823901	1	0	1	Niskanen2015	human	leukemia	K562	K562	control	no	GRO-seq	SRR1823901
